City Number,City,Country,Lat,Long,Humidity,Temperature,Max Temp,Cloudiness,Wind Speed
346,Metro,ID,-5.11,105.31,92,75.2,75.2,83,4.27
347,Lata,PT,40.16,-8.33,50,63.0,63.0,81,5.14
348,Smithers,CA,54.78,-127.17,91,32.0,32.0,90,12.75
349,Reporoa,NZ,-38.43,176.35,92,55.08,57.0,100,5.01
350,Shādegān,IR,30.65,48.66,35,74.28,75.2,0,4.7
351,Mossamedes,AO,-15.2,12.15,74,69.51,69.51,20,3.98
352,Pizarro,CO,4.95,-77.37,85,80.19,80.19,100,11.25
353,Vagay,RU,57.94,69.02,95,32.14,32.14,100,7.07
354,Impfondo,CG,1.64,18.07,97,72.21,72.21,99,2.55
355,Laas,IT,46.62,10.7,80,41.2,43.0,5,1.23
356,Sisimiut,GL,66.94,-53.67,68,43.36,43.36,100,18.25
357,Pemberton,CA,50.32,-122.8,100,42.57,44.01,90,0.81
358,Okato,NZ,-39.2,173.88,88,57.51,59.0,96,10.0
359,Baghmara,IN,23.8,86.21,70,77.07,77.07,81,1.34
360,Kutum,SD,14.2,24.67,17,78.93,78.93,0,10.18
361,Bad Wildungen,DE,51.12,9.12,87,46.67,46.99,75,9.17
362,Clyde River,CA,70.47,-68.59,86,30.2,30.2,90,3.36
363,Cap Malheureux,MU,-19.98,57.61,73,72.0,72.0,0,4.0
364,Inírida,CO,3.87,-67.92,53,90.34,90.34,75,0.74
365,Kumul,CN,42.8,93.45,47,45.88,45.88,94,2.91
366,Aksha,RU,50.28,113.29,88,33.57,33.57,27,2.93
367,Bandarbeyla,SO,9.49,50.81,80,79.43,79.43,0,3.13
368,Isangel,VU,-19.55,169.27,67,74.46,74.46,2,5.68
369,Haines Junction,CA,60.75,-137.51,79,23.88,23.88,100,1.21
370,Bataiporã,BR,-22.3,-53.27,39,89.31,89.31,66,3.42
371,Kismayo,SO,-0.36,42.55,76,78.6,78.6,100,12.88
372,Sabanalarga,CO,10.63,-74.92,74,87.8,87.8,40,8.05
373,Mandalgovi,MN,45.76,106.27,59,37.36,37.36,79,10.83
374,Sistranda,NO,63.73,8.83,67,39.2,39.2,75,19.46
375,Ambulu,ID,-8.35,113.61,88,75.0,75.0,64,4.29
376,Barra de Tecoanapa,MX,16.52,-98.75,61,87.84,87.84,97,10.13
377,Bandundu Province,CD,-3.32,17.37,89,72.75,72.75,1,1.9
378,Amos,CA,48.57,-78.12,76,47.43,48.2,90,24.16
379,Gbarnga,LR,7.0,-9.47,92,73.98,73.98,100,1.57
